preprocess_step,rank,cv_score,feature_selector,selected_features,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,train_accuracy,train_precision,train_recall,train_specificity,train_balanced_accuracy,train_balanced_precision,train_balanced_recall,train_balanced_specificity,train_accuracy_excelente,train_precision_excelente,train_recall_excelente,train_specificity_excelente,train_accuracy_muito_bom,train_precision_muito_bom,train_recall_muito_bom,train_specificity_muito_bom,model_file
SG_1D+MeanCentering,1,0.709221772379667,lasso,414,400,14,14,2,0.33628313736579724,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-14_min_samples_leaf-2_max_features-0.33628313736579724_bootstrap-False_rank-001.joblib
SG_1D+MeanCentering,2,0.6820512820512821,lasso,414,400,15,10,2,0.3119404177839274,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.3119404177839274_bootstrap-False_rank-002.joblib
SG_1D+MeanCentering,3,0.6807692307692308,lasso,414,450,15,10,2,0.302864876624482,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.302864876624482_bootstrap-False_rank-003.joblib
SG_1D+MeanCentering,4,0.6756410256410257,lasso,414,450,15,10,2,0.30390134195764323,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.30390134195764323_bootstrap-False_rank-004.joblib
SG_1D+MeanCentering,5,0.6700854700854701,lasso,414,450,14,14,1,0.30068816436466844,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-14_min_samples_leaf-1_max_features-0.30068816436466844_bootstrap-False_rank-005.joblib
SG_1D+MeanCentering,6,0.6632478632478632,lasso,414,450,14,10,2,0.33928558590786084,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-10_min_samples_leaf-2_max_features-0.33928558590786084_bootstrap-False_rank-006.joblib
SG_1D+MeanCentering,7,0.6632253711201079,lasso,414,450,15,11,2,0.3288939469762375,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-11_min_samples_leaf-2_max_features-0.3288939469762375_bootstrap-False_rank-007.joblib
SG_1D+MeanCentering,8,0.6628205128205129,lasso,414,450,14,11,2,0.30169896980646826,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-11_min_samples_leaf-2_max_features-0.30169896980646826_bootstrap-False_rank-008.joblib
SG_1D+MeanCentering,9,0.6628205128205128,lasso,414,400,15,14,2,0.349956412756438,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-14_min_samples_leaf-2_max_features-0.349956412756438_bootstrap-False_rank-009.joblib
SG_1D+MeanCentering,10,0.6615384615384615,lasso,414,400,15,11,2,0.3470496845951276,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-11_min_samples_leaf-2_max_features-0.3470496845951276_bootstrap-False_rank-010.joblib
SG_1D+MeanCentering,11,0.6611111111111112,lasso,414,450,15,10,2,0.30568108695604795,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.30568108695604795_bootstrap-False_rank-011.joblib
SG_1D+MeanCentering,12,0.6602564102564102,lasso,414,450,14,10,2,0.3262962941352141,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-10_min_samples_leaf-2_max_features-0.3262962941352141_bootstrap-False_rank-012.joblib
SG_1D+MeanCentering,13,0.6576923076923077,lasso,414,400,15,10,2,0.32336846479541625,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.32336846479541625_bootstrap-False_rank-013.joblib
SG_1D+MeanCentering,14,0.6567701304543411,lasso,414,450,14,10,2,0.31281980596424364,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-10_min_samples_leaf-2_max_features-0.31281980596424364_bootstrap-False_rank-014.joblib
SG_1D+MeanCentering,15,0.6540485829959515,lasso,414,450,14,10,2,0.3096234162285511,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-10_min_samples_leaf-2_max_features-0.3096234162285511_bootstrap-False_rank-015.joblib
SG_1D+MeanCentering,16,0.6517094017094018,lasso,414,450,15,10,2,0.3049124653922379,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.3049124653922379_bootstrap-False_rank-016.joblib
SG_1D+MeanCentering,17,0.650854700854701,lasso,414,450,15,10,2,0.30871387607480494,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.30871387607480494_bootstrap-False_rank-017.joblib
SG_1D+MeanCentering,18,0.6508547008547009,lasso,414,450,14,11,2,0.21167861223083598,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-11_min_samples_leaf-2_max_features-0.21167861223083598_bootstrap-False_rank-018.joblib
SG_1D+MeanCentering,19,0.6504273504273504,lasso,414,350,14,14,2,0.3288109570697851,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-14_min_samples_leaf-2_max_features-0.3288109570697851_bootstrap-False_rank-019.joblib
SG_1D+MeanCentering,20,0.6491452991452992,lasso,414,400,14,14,1,0.34019941129740444,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-14_min_samples_leaf-1_max_features-0.34019941129740444_bootstrap-False_rank-020.joblib
SG_1D+MeanCentering,21,0.6487179487179487,lasso,414,400,15,10,2,0.32475568262805476,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.32475568262805476_bootstrap-False_rank-021.joblib
SG_1D+MeanCentering,22,0.6487179487179487,lasso,414,400,15,10,2,0.33220606821251303,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.33220606821251303_bootstrap-False_rank-022.joblib
SG_1D+MeanCentering,23,0.6465811965811966,lasso,414,400,15,10,2,0.3475258880813485,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.3475258880813485_bootstrap-False_rank-023.joblib
SG_1D+MeanCentering,24,0.6461538461538462,lasso,414,450,14,10,2,0.30515931650068584,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-10_min_samples_leaf-2_max_features-0.30515931650068584_bootstrap-False_rank-024.joblib
SG_1D+MeanCentering,25,0.6448717948717949,lasso,414,450,15,18,2,0.3265749875271973,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-18_min_samples_leaf-2_max_features-0.3265749875271973_bootstrap-False_rank-025.joblib
SG_1D+MeanCentering,26,0.6448717948717949,lasso,414,400,15,10,2,0.3274690522402007,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.3274690522402007_bootstrap-False_rank-026.joblib
SG_1D+MeanCentering,27,0.6448717948717949,lasso,414,400,15,10,2,0.3155789896953447,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.3155789896953447_bootstrap-False_rank-027.joblib
SG_1D+MeanCentering,28,0.6448717948717948,lasso,414,400,15,14,1,0.2600033854459364,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-14_min_samples_leaf-1_max_features-0.2600033854459364_bootstrap-False_rank-028.joblib
SG_1D+MeanCentering,29,0.6448043184885289,lasso,414,450,15,10,2,0.33607650358715696,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.33607650358715696_bootstrap-False_rank-029.joblib
SG_1D+MeanCentering,30,0.6435897435897436,lasso,414,450,14,10,2,0.32821843368942216,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-10_min_samples_leaf-2_max_features-0.32821843368942216_bootstrap-False_rank-030.joblib
SG_1D+MeanCentering,31,0.6435897435897435,lasso,414,400,15,14,2,0.2559833728710251,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-14_min_samples_leaf-2_max_features-0.2559833728710251_bootstrap-False_rank-031.joblib
SG_1D+MeanCentering,32,0.6423076923076924,lasso,414,450,15,10,2,0.30520294519562124,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.30520294519562124_bootstrap-False_rank-032.joblib
SG_1D+MeanCentering,33,0.6384615384615385,lasso,414,400,15,11,2,0.33117030348612664,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-11_min_samples_leaf-2_max_features-0.33117030348612664_bootstrap-False_rank-033.joblib
SG_1D+MeanCentering,34,0.6384615384615385,lasso,414,450,15,11,1,0.34678154048154336,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-11_min_samples_leaf-1_max_features-0.34678154048154336_bootstrap-False_rank-034.joblib
SG_1D+MeanCentering,35,0.6378542510121458,lasso,414,400,14,14,2,0.24347616233798966,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-14_min_samples_leaf-2_max_features-0.24347616233798966_bootstrap-False_rank-035.joblib
SG_1D+MeanCentering,36,0.636459739091318,lasso,414,450,14,16,1,0.30686588518858604,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-16_min_samples_leaf-1_max_features-0.30686588518858604_bootstrap-False_rank-036.joblib
SG_1D+MeanCentering,37,0.6363247863247863,lasso,414,450,15,10,2,0.30227709410190545,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.30227709410190545_bootstrap-False_rank-037.joblib
SG_1D+MeanCentering,38,0.6355600539811067,lasso,414,400,15,10,2,0.3055132224322084,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.3055132224322084_bootstrap-False_rank-038.joblib
SG_1D+MeanCentering,39,0.6354700854700854,lasso,414,450,14,10,2,0.3310423031986369,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-10_min_samples_leaf-2_max_features-0.3310423031986369_bootstrap-False_rank-039.joblib
SG_1D+MeanCentering,40,0.6342780026990553,lasso,414,450,15,11,2,0.3045494498876355,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-11_min_samples_leaf-2_max_features-0.3045494498876355_bootstrap-False_rank-040.joblib
SG_1D+MeanCentering,41,0.6341880341880343,lasso,414,400,14,15,2,0.3450690639977247,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-15_min_samples_leaf-2_max_features-0.3450690639977247_bootstrap-False_rank-041.joblib
SG_1D+MeanCentering,42,0.6335807467386415,lasso,414,350,14,17,1,0.303114286230826,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-17_min_samples_leaf-1_max_features-0.303114286230826_bootstrap-False_rank-042.joblib
SG_1D+MeanCentering,43,0.6333333333333334,lasso,414,450,15,16,2,0.3463570689322117,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-16_min_samples_leaf-2_max_features-0.3463570689322117_bootstrap-False_rank-043.joblib
SG_1D+MeanCentering,44,0.6333333333333333,lasso,414,450,15,16,2,0.3465329219626235,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-16_min_samples_leaf-2_max_features-0.3465329219626235_bootstrap-False_rank-044.joblib
SG_1D+MeanCentering,45,0.6312415654520918,lasso,414,450,15,11,1,0.2062220168052833,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-15_min_samples_split-11_min_samples_leaf-1_max_features-0.2062220168052833_bootstrap-False_rank-045.joblib
SG_1D+MeanCentering,46,0.6307692307692307,lasso,414,400,14,14,1,0.2233108937921359,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-14_min_samples_split-14_min_samples_leaf-1_max_features-0.2233108937921359_bootstrap-False_rank-046.joblib
SG_1D+MeanCentering,47,0.6307692307692307,lasso,414,400,15,11,2,0.3006399131583187,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-11_min_samples_leaf-2_max_features-0.3006399131583187_bootstrap-False_rank-047.joblib
SG_1D+MeanCentering,48,0.6307692307692307,lasso,414,400,15,10,2,0.32996305871629394,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-400_max_depth-15_min_samples_split-10_min_samples_leaf-2_max_features-0.32996305871629394_bootstrap-False_rank-048.joblib
SG_1D+MeanCentering,49,0.6307692307692306,lasso,414,450,14,10,2,0.3086019492320425,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-450_max_depth-14_min_samples_split-10_min_samples_leaf-2_max_features-0.3086019492320425_bootstrap-False_rank-049.joblib
SG_1D+MeanCentering,50,0.62991452991453,lasso,414,350,14,13,1,0.32711438688175143,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rf_SG_1D+MeanCentering_n_estimators-350_max_depth-14_min_samples_split-13_min_samples_leaf-1_max_features-0.32711438688175143_bootstrap-False_rank-050.joblib
